Genre,Sequence,Label
Blues,"[('1/8', '38', 72), ('1/8', '42', 72), ('1/8', '38', 72), ('1/8', '43', 72), ('1/8', '44', 72), ('1/4', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72)]","[('1/8', '48', 72)]"
Blues,"[('1/8', '42', 72), ('1/8', '38', 72), ('1/8', '43', 72), ('1/8', '44', 72), ('1/4', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72)]","[('1/8', '45', 72)]"
Blues,"[('1/8', '38', 72), ('1/8', '43', 72), ('1/8', '44', 72), ('1/4', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72)]","[('1/8', '48', 72)]"
Blues,"[('1/8', '43', 72), ('1/8', '44', 72), ('1/4', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72)]","[('1/8', '45', 72)]"
Blues,"[('1/8', '44', 72), ('1/4', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72)]","[('1/8', '48', 72)]"
Blues,"[('1/4', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72)]","[('1/8', '45', 72)]"
Blues,"[('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72)]","[('1/8', '50', 72)]"
Blues,"[('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72)]","[('1/8', '45', 72)]"
Blues,"[('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72)]","[('1/8', '48', 72)]"
Blues,"[('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72)]","[('1/8', '45', 72)]"
Blues,"[('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72)]","[('1/8', '50', 72)]"
Blues,"[('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72), ('1/8', '45', 72), ('1/8', '48', 72), ('1/8', '45', 72), ('1/8', '50', 72)]","[('1/8', '38', 72)]"
